model,dataset,accuracy,elapsed_time,num_epochs_to_converge
gcnv1-bias,cora,0.8611829944547136,1.2523528575897216,102.3
gcnv1-no-bias,cora,0.8600739371534196,1.124461817741394,74.6
gcnv2-bias,cora,0.8789279112754158,1.366274619102478,51.2
gcnv2-no-bias,cora,0.8839186691312385,1.1803815603256225,43.2
graphSAGEv1-mean,cora,0.8804682686383241,314.0248598257701,68.66666666666667
graphSAGEv1-sum,cora,0.8755391250770178,305.13427408536273,37.0
graphSAGEv1-max,cora,0.8743068391866914,327.4994466304779,50.666666666666664
graphSAGEv2-mean,cora,0.836105976586568,300.8711983362834,171.66666666666666
graphSAGEv12sum,cora,0.8422674060382009,331.6498092810313,82.66666666666667
graphSAGEv2-max,cora,0.8299445471349354,306.9901413122813,87.33333333333333
graphSAGEv3-mean,cora,0.8534195933456562,1.2304763317108154,63.9
graphSAGEv3-sum,cora,0.84362292051756,1.142268991470337,68.1
graphSAGEv3-max,cora,0.8423290203327172,1.7240758895874024,48.1
graphSAGEv4-mean,cora,0.83456561922366,1.2675816297531128,122.5
graphSAGEv4-sum,cora,0.8571164510166358,1.22018301486969,52.9
graphSAGEv4-max,cora,0.8426987060998151,2.24187171459198,70.5
