model,data_split,accuracy,elapsed_time,num_epochs_to_converge
GCN V1 (B),original,0.8094999999999999,0.7883234977722168,140.7
GCN V1,original,0.8144,0.6746683835983276,89.3
GCN V1 (B),custom,0.855083179297597,0.7121874809265136,137.3
GCN V1,custom,0.8861367837338262,0.6818825483322144,69.3
GCN V2 (B),original,0.778,0.774251651763916,93.2
GCN V2,original,0.7829999999999999,0.7374228239059448,51.1
GCN V2 (B),custom,0.8669131238447318,0.7742675542831421,49.0
GCN V2,custom,0.890757855822551,0.7198904991149903,43.3
